author,comment,likes,published_at,reply_count
@juwinapatriciajoel701,Budak sarawak tu buat air mata mengalir.. walaupun dia xda kja.. dia tetap bntu..😭... Thank u diatas video yg dpt memberikan motivasi kpd rakyat malaysia..♥️... Smoga kita semua lebih prihatin terhdap golongan yg susah..♥️,43,2020-07-04 14:39,0
@fuadbinzaidan1990,trbaiklh isa teruskan beramal mudah mudahan dirahmati Allah swt selalu🤲🤲🤲🤲☺️☺️☺️,43,2020-05-25 16:08,0
@kakyulie7603,"Tgk target yg pertama bagi tu, buat akak menangis...
Mentaliti org yg pnh susah dan dia bersyukur dgn rezeki Allah bg skrg...
Bersungguh dia tolong...
Serius, sgt touching...",42,2020-06-24 00:14,0
@ashrulashraff6756,"Ahahahahaha. Aku tk caya langsung kt pakcik tu. Time shah bgi duit, dia dh aim dh hahahaha. Tkde duit pebenda isap vape 🤣🤣🤣 padu pakcikkk",42,2020-06-01 01:27,9
@nnadhys,I’m touching watch this social experiment🥺🙌🏻,40,2020-05-25 10:57,0
@kecikhidayah4902,Yang buat my car tu.. Aku terharu sial.. 😭😭Ikhlas betul dia,40,2020-06-16 03:10,1
@muazsuhaimi7594,Yg 1st tuh sngt2 baik..snggup tukar dulu duit..and mintk sepuluh kasi dua puluh...allah je tau hati bro tuh..jngn pandang luaran.. Atau pemakaian seseorg tuh.. See ..terbaik broo aku harap kau murah rezeki.. And isa isarb Allah je dpt bls budi kau.... Amin..,39,2020-05-25 16:54,0
@izzatzakwan196,"Bro pada pendapat aku la, aku rasa kau tak boleh la libatkan diri dlm experiment kau sendiri, sbb kau dah famous. So maybe org bagi duit dkt kau sbb org dah kenal kau. Lagi satu, kau tak boleh suruh org yg berlakon minta sedekah ni pakai merch kau, maybe org yg kau experiment tu dah tahu pasal kau, experiment kau, YouTube channel kau. So experiment kau ni tak reliable bagi aku.

So aku cadangkan kau nak buat social experiment mcm ni, kau hire la org lain yg tak famous langsung, org random yg kusut masai mcm aku sekarang bukan org yg rambut kemas, muka flawless and tak payah pakai merch kau utk jadi pelakon kau, barulah realistic. Kau tengok dari jauh and dengar je. Kalau org tu bagi sedekah, baru kau sendiri datang bagi duit reward diorang.",39,2020-06-18 06:13,2
@areriffchannel3942,"Semoga allah swt, permudhkan urusan kamu ISA ISARB😊🤲, Allah swt permudhkan rezeki kamu... Ameen🤲",38,2020-05-25 22:30,0
@SyedRahman97,Pehh Isa beli drone terus! 😂,37,2020-05-25 10:34,0
