video_id,comment
NnqTib39sao,Esok raya
NnqTib39sao,2033 aku DTG balik
NnqTib39sao,Selamat hari raya 1445❤🎉
NnqTib39sao,Siapa yg tengok aku 2024😘
NnqTib39sao,Masih suka dengar lagu raya ini.Meskipun MV lagu nya sudah hampir 11 tahun dikeluarkan.
NnqTib39sao,Nahh kau esok raya bukak lagu ni sebab amik mood masak makanan raya ni😜🤣
NnqTib39sao,sape tgk arini??? esok raya!!!
NnqTib39sao,hadir 2024
NnqTib39sao,Aku rindu arwah atok aku😭 lepas dia meninggal tahun 2020 semua dah tak samaa☹️
NnqTib39sao,Lagu ni dh 10 tahun ye... Rasa mcm fresh msih baru lagi😅
NnqTib39sao,Akuu
NnqTib39sao,Suka bangget sama mv ini jadi AQ nak rindu di dekat K.l macem ini je.. hehehehe
NnqTib39sao,"nice song 
Salamat Hari Raya 
2024🎉🎉"
NnqTib39sao,Siapa tngok di 2024❤🎉
NnqTib39sao,"setakat ni lagu raya modern yg ni paling best 🎉 asal raya je teringat lagu ni, masterpiece 🎉"
NnqTib39sao,2013 mmg tahun lagu raya best2 ek lagu siti nurhaliza pun byk 2013😂
NnqTib39sao,Rindunyaaaaa time time ni 🥺🫶🏻✨
NnqTib39sao,best lagu raya ni
NnqTib39sao,Raya 2024
NnqTib39sao,Tinggal beberapa hari lgi nak raya🎉🎉
NnqTib39sao,Siapa tgok 2026😢😢😂
NnqTib39sao,"damn,10 tahun lalu dah"
NnqTib39sao,2024 Hari raya Hadirr👉🏽
NnqTib39sao,happy aid day help side money
NnqTib39sao,5 days to raya 2024
NnqTib39sao,Wahh best lagu ni hehe
NnqTib39sao,05/04/2024 🎉 lgi 5hri raya 🥲 beraya dekat perantaun tanpa family 😢 tiket sabah mcm nak pi oversea 🥲
NnqTib39sao,Rindunya zaman remaja
NnqTib39sao,Gila 10 tahun dah.  10/04/2024 raya. Kes keluar kt sinar.fm ja baru bleh refresh balik😂
NnqTib39sao,These groups is such a vibe back then🥺 hari2 mesti stream youtube NAR records. Beli gitar dulu pun sebab ni lah😭
NnqTib39sao,Rindu dengar lagu ni dari 2019 until 2024 huhu xlama lagi nk raya...❤
NnqTib39sao,Saya
NnqTib39sao,eh baru 2024 😅😂🤣
NnqTib39sao,Najwa latif pling best❤
NnqTib39sao,Lagu raya baru yg ada vibe raya yg paling aku suka. Ramadan ke 24 pada tahun 2024 kejap jer nk raya. 😢
NnqTib39sao,มุสลิมไทยชอบเพลงมากครับ เพลงเพราะมากมิวสิคทำได้ดีมากๆ
NnqTib39sao,dengar di manis fm..trus cari di yutub hehe
NnqTib39sao,Raya Mau dekat suda semangat dengar lagu ni 😅🥰🥰👏🏻👏🏻
NnqTib39sao,lagu ni pun kira legend gak sbb dlu masa sekolah selalu bermain kat mall.. sambil belek baju dengan arwah ayah :) thank you iamneeta and the team sbb cipta lagu yang ada memori..
NnqTib39sao,Composer lagu ni Patrik nii apehal?? Nk sebut Raya pon sangkut!! Hari Raaa aaakkk Ya?? Pala Hotak luu
NnqTib39sao,Rinduuu nyaa zaman ni😭
NnqTib39sao,2024 but still suka dengar lagu ni.
NnqTib39sao,2k24😘😘
NnqTib39sao,Nak raya dah 2024 🎉
NnqTib39sao,legend lagu nii . sedaapp ❤
NnqTib39sao,2024 mana suara nya ????
NnqTib39sao,Kenapa la lagu ni tak buat untuk aliff syukri...boleh selamatkan dia lagi..😂😂
NnqTib39sao,Saya
NnqTib39sao,Dah 10 tahun usia lagu ni..tp setiap tahun aku akan dgr ..lagu ni famous dlu masa tgh study..skrng dah umur 32 tahun..hahahaha
NnqTib39sao,2024 still dengar lagu ni
NnqTib39sao,Hari ini 10 Ramadan terakhir Ramadan 2024 😢  Insyallah tahun depan saya dapat tengok status komen saya ini lagi. Nanti saya reply tahun depan
NnqTib39sao,Excited sangat belum raya dah dengar 2024
NnqTib39sao,Im not muslim but this song my fav all the time. We even sing this song together at my workplace lol 🤣❤
NnqTib39sao,lagu ni pun kira legend gak sbb
NnqTib39sao,kann
NnqTib39sao,bbnu og semua dalam ni
NnqTib39sao,​ @qistinabalqish32 yee rindu sangat zaman yg tak kan boleh  kembali
NnqTib39sao,2025 hadir
NnqTib39sao,2024❤❤❤❤
NnqTib39sao,Sama-sama   raya ❤😊
NnqTib39sao,2024 masih mndengar lagu ni.   Antara lagu baru yg boleh diterima peminat lagu raya.
NnqTib39sao,Lagu ni best oooo
NnqTib39sao,"Siapa dengar lagu ni time sahur sekarang, 🎉🎉 taa sabar rayaa ❤❤❤"
NnqTib39sao,haha...ingat lagi time 2010 semua ikut style tudung Najwa latif...keep it up Najwa...
NnqTib39sao,Lgu raya2 zmn bujang dlu 10thn dulu..
NnqTib39sao,🥴😱
NnqTib39sao,16 Ramadhan ...26/3/2024...Selamat Hari Raya 💕💕💕
NnqTib39sao,Masih menunggu 2024 paling top 1 LH bgi saya lagu raya ni
NnqTib39sao,🎉❤
NnqTib39sao,Lagu ray ni bestttt❤❤❤
NnqTib39sao,Hadir dulu yang dari 2024🎉
NnqTib39sao,13 ramadan 1445h / 24 mac 2024
NnqTib39sao,Cute je mimie harris..
NnqTib39sao,Sape tgok 2024
NnqTib39sao,"Walaupun ni lagi agak baru, tapi boleh tersenarai dalam Evergreen 😂"
NnqTib39sao,Rindu Malaysia... Tahun ini beraya di negara Filipina.. tahun depan baru beraya di Malaysia dengan kedua orang tua dan keluarga .. hmmm😢😢
NnqTib39sao,Alhamdulillah buat lagu raya 😊
NnqTib39sao,"Mv ni cukup rencah ek bila tgk balik....kita bukan tgk depa sbnrnya, kita nmpk msa remaja kita dn tiba2 rindu smua....klau nyanyi smula di taun bru cma tmbah sikit ja, ada shoot guna dron."
NnqTib39sao,project 1 dah siap belum?
NnqTib39sao,wish awal guys! selamat hari raya 🤣❤️
NnqTib39sao,Siapa tengok waktu ramadhan minggu ke dua 2024
NnqTib39sao,2024 🙌🙌🙌
NnqTib39sao,I from malaysia like your song in 2024
NnqTib39sao,keminatannn ❤
NnqTib39sao,"Rupanya lagu raya ni dicipta oleh seorang non-Muslim dari Sabah, Patrick Anohada. Terbaik.👍"
NnqTib39sao,2024==amacam ok puasa😅😂
NnqTib39sao,Lagu nie paling best untuk yang moden pnya❤❤❤
NnqTib39sao,Sapa tengok 2024
NnqTib39sao,Sy di sini sebab Patrick post ni d fb ❤ rindu raya d kampung 😢
NnqTib39sao,"2024 baru tengok balik ni video lagu ,kenapa tiba2 rasa sedih dgr lagu ni😢.im non Muslim but I love this song so much!❤"
NnqTib39sao,nice song
NnqTib39sao,16.03.2024 hadir hr ni tgk
NnqTib39sao,2024
NnqTib39sao,kira evergreen suda ni
NnqTib39sao,Mantul ni lagu ciptaan si Patrick anohada..👏👏👏
NnqTib39sao,2024 hadir
NnqTib39sao,2024
NnqTib39sao,Lagu raya ni dah boleh dikategorikan sebagai lagu raya yg evergreen
NnqTib39sao,best baca dalam ni... sebab ada kisah masing masing masa zaman kobid 19 ..hahaha sedih dalam gembira ya kita semua..
NnqTib39sao,beria maksa
NnqTib39sao,Sangat detail ye 😂
NnqTib39sao,Nak Raye doh😢
NnqTib39sao,Aku
NnqTib39sao,2024 masih sedap di dengar🎉
NnqTib39sao,2024
NnqTib39sao,"3 tahun duk Malaysia..  Dengar lagu raya karna rindu Malaysia 😢 Vibes raya sangat terasa,,"
NnqTib39sao,"09/03/2024 

Dlm 2 3 hari lagi Puasa 
Raya bulan 4/2024"
NnqTib39sao,My favorite❤
NnqTib39sao,I’m Muslim from Cambodia 🇰🇭 I Like this Song ❤
NnqTib39sao,"dalam x minat2 lagu ni, sedar2 dah 10 tahun dah"
NnqTib39sao,Mac 2024. Puasa  bakal tiba dlm 6hari lagi. 🤭Tp dh ambik smngt dgr lagu raya.dlm ni smua msih muda2  remaja🤭suara pun lebih kurg comel2
NnqTib39sao,Cari lagu ini susah betul 😭😭😭
NnqTib39sao,😢
NnqTib39sao,Saya tngok 2024
NnqTib39sao,Mkp
NnqTib39sao,X lama lagi ramadhan menjelang tiba kemudian di susuli hari raya.Semoga kita dipanjangkan umur dan di murahkan rezeki.Amin
NnqTib39sao,"Rindu raya time kecik2 ,janji dengan kawan² nak pergi raya sama2 🥰..."
NnqTib39sao,Hurmmm rindunya nak raya
NnqTib39sao,Sedap lagu ni
NnqTib39sao,Sapa yang tngok 2024 ??
NnqTib39sao,2024 still watching
NnqTib39sao,Raya 2024 ..belum puasa pon aku dh semangat denga..best giler lagu ni..lagu catchy tapi vibe raya tu terasa sgt bila denga lagu ni😆
NnqTib39sao,Dh tk lama lgi nk puasa lepstu raya..tk sbrnye
NnqTib39sao,type je iam neeta raya😂
NnqTib39sao,Tnggl brpa hari jk lgi 🎉😊
NnqTib39sao,Saya
NnqTib39sao,Saya
NnqTib39sao,Saya
NnqTib39sao,Saya
NnqTib39sao,Saya
NnqTib39sao,"3.3.2024 lg 9hr nk puasa,, ❤"
NnqTib39sao,Berapa Hari lagi puasa wakk
NnqTib39sao,Me sebab nk letak dlm playlist .nk buat Keja sambil dgr nanti waktu bulan puasa 😂.ambik vibes awal
NnqTib39sao,Ofcourse la tgk lagu ni paling byk vibes😊❤
NnqTib39sao,saya
NnqTib39sao,Saya
NnqTib39sao,Saye😊
NnqTib39sao,Saya
NnqTib39sao,Me always when ramadhan comes
NnqTib39sao,Sayaaaaa😂
NnqTib39sao,🖐️
NnqTib39sao,sayaa😂
NnqTib39sao,Yang baru tau lagu ni
NnqTib39sao,Saya
NnqTib39sao,✋🏻
NnqTib39sao,Mak kau
NnqTib39sao,Saya
NnqTib39sao,saya 🤣
NnqTib39sao,🙋🙋
NnqTib39sao,17.3.2024 hadir
NnqTib39sao,saya
NnqTib39sao,Saya
NnqTib39sao,Win lagu raya ni mcm getik
NnqTib39sao,Tgh tengok
NnqTib39sao,paling minat lagu raya ni
NnqTib39sao,saya boss
NnqTib39sao,Me
NnqTib39sao,Me
NnqTib39sao,Saya✋🏿😂❤
NnqTib39sao,Saya
NnqTib39sao,🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️
NnqTib39sao,Ye saya
NnqTib39sao,semestinya saya HAHAHAHA!
NnqTib39sao,setiap tahun still dengar lagu ni
NnqTib39sao,Saya
NnqTib39sao,"Saya ,suka lah lagu ni"
NnqTib39sao,​ @Sofeaaaae hmm
NnqTib39sao,"Me """
NnqTib39sao,Saya tengok lagi harini
NnqTib39sao,Saya😅
NnqTib39sao,Saya
NnqTib39sao,Saya still best lagi
NnqTib39sao,Saya❤❤❤
NnqTib39sao,saya
NnqTib39sao,Saya👇🏻
NnqTib39sao,Tgh tengok ni boss
NnqTib39sao,Saya 😁
NnqTib39sao,Saya
NnqTib39sao,"Sye 
25.3.2024"
NnqTib39sao,🖐🏻
NnqTib39sao,Saye sbb saye x sabar nak raye
NnqTib39sao,Saya
NnqTib39sao,takda siapa
NnqTib39sao,Saya
NnqTib39sao,Saya
NnqTib39sao,Saya
NnqTib39sao,Aku😅
NnqTib39sao,Xde Kau sorang jee🤣🤣
NnqTib39sao,Saya 🤚🏻❤
NnqTib39sao,Saya!
NnqTib39sao,Mak cik kau
NnqTib39sao,Meeeeeee
NnqTib39sao,😂😢 aku
NnqTib39sao,1-4-2024 😂😂😂
NnqTib39sao,Saya
NnqTib39sao,Saya
NnqTib39sao,Saya
NnqTib39sao,SAYA
NnqTib39sao,saya orng ke 501 bang 🗿🤳🏻
NnqTib39sao,me😅
NnqTib39sao,Saya
NnqTib39sao,Seminggu lagi nak raye
NnqTib39sao,hadir...dh nak raya😂
NnqTib39sao,ME!!
NnqTib39sao,Syaa
NnqTib39sao,Saya
NnqTib39sao,Emm
NnqTib39sao,Saya
NnqTib39sao,Saya
NnqTib39sao,mana ada sudah org tengok.. dengar2 sadja..
NnqTib39sao,sayaaaaaaaaaaa
NnqTib39sao,sayoo
NnqTib39sao,Saya
NnqTib39sao,Saya
NnqTib39sao,Saya
NnqTib39sao,saya
NnqTib39sao,🤚🏻
NnqTib39sao,Selamat Hari Raya 2k24 Geng🎉
NnqTib39sao,Saya
NnqTib39sao,Aku
NnqTib39sao,​ @MCArif_601 😢ถนน​ึ6ถค
NnqTib39sao,Esok dah raya brunei esoknya 😢 😂❤
NnqTib39sao,Saya
NnqTib39sao,Yes 😂
NnqTib39sao,Saya
NnqTib39sao,Saya 2024 esok raya ❤❤
NnqTib39sao,🖐️
NnqTib39sao,Selamat hari raya Aidilfitri maaf zahir batin guys🎉
NnqTib39sao,Teman hadirr
NnqTib39sao,"Sama boss, pejam celik dah 10 tahun lagi ni"
NnqTib39sao,"เราด้วยค่ะฟังอยู่เลย

Thailand"
NnqTib39sao,Hadir!
NnqTib39sao,sya lebih lagu ni drpada alamak raya😅😊
NnqTib39sao,Saya.
NnqTib39sao,🙋🏻🙋🏻🙋🏻
NnqTib39sao,bukan sayaa
NnqTib39sao,Saya
NnqTib39sao,❤
NnqTib39sao,xde
NnqTib39sao,Saya Harini 6 syawal 2024
NnqTib39sao,Esok sekolah saya akan menyanyikan lagu ini😊
NnqTib39sao,Kwn suruh bukak 😊
NnqTib39sao,Saya
NnqTib39sao,Saya
NnqTib39sao,Saya
NnqTib39sao,Aku
NnqTib39sao,Saya
NnqTib39sao,Tak tanyeer
NnqTib39sao,Saya..lagu ni lebih sedap dari lagu alamak Tue..😊
NnqTib39sao,Saya
NnqTib39sao,Sya
NnqTib39sao,✋
NnqTib39sao,Saya
NnqTib39sao,"Saya,tapi kan saya ingat lagu ni tahun lepas rupanya 10thn yang lahu"
NnqTib39sao,Saya
NnqTib39sao,Saya
